track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,Manuel Turizo,82.0,2000,album,2023-03-17,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,n/a,Minor,86,42,72,59,0,9,19,KAROL G,65.0,MAÑANA SERÁ BONITO (BICHOTA SEASON),album,2023-08-10,https://open.spotify.com/track/0BFQC00Y58JtjMyTXOJazO
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,n/a,Minor,61,53,58,55,0,27,4,Taylor Swift,84.0,folklore,album,2020-07-24,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,,,,,,
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,PinkPantheress,73.0,Boy's a liar Pt. 2,single,2023-02-03,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,PinkPantheress,73.0,Boy's a liar Pt. 2,single,2023-02-03,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,Charlie Puth,73.0,CHARLIE,album,2022-10-06,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,ROSALÍA,76.0,RR,single,2023-03-24,https://open.spotify.com/track/609E1JCInJncactoMmkDon
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,Ozuna,80.0,OzuTochi,album,2022-10-07,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,Coldplay,91.0,Parachutes,album,2000-07-10,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,,,,,,
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,,,,,,
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,,,,,,
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,Taylor Swift,78.0,Speak Now (Taylor's Version),album,2023-07-07,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,Rauw Alejandro,68.0,BABY HELLO,single,2023-06-23,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,0,81,B,Major,76,53,53,44,0,9,9,Glass Animals,86.0,Dreamland,album,2020-08-07,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,JVKE,76.0,this is what falling in love feels like (554Hz),single,2022-10-03,https://open.spotify.com/track/4yNk9iz9WVJikRFle3XEvn
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,"1,056",1,0,124,A#,Major,61,41,81,5,2,10,3,The Neighbourhood,90.0,I Love You.,album,2013-04-22,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,Bizarrap,81.0,"Quevedo: Bzrp Music Sessions, Vol. 52",single,2022-07-06,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,Coldplay,75.0,Viva La Vida or Death and All His Friends,album,2008-06-19,https://open.spotify.com/track/3Fcfwhm8oRrBvBZ8KGhtea
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,d4vd,85.0,Petals to Thorns,single,2023-05-26,https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,Sam Smith,78.0,Unholy (feat. Kim Petras),single,2022-09-22,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,Yandel,72.0,Resistencia,album,2023-01-13,https://open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,,,,,,
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,Vance Joy,81.0,Dream Your Life Away,album,2014-09-08,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,Stephen Sanchez,80.0,Until I Found You (Em Beihold Version),single,2022-04-22,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,Stephen Sanchez,80.0,Until I Found You (Em Beihold Version),single,2022-04-22,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN
